APN,RegisteredDate,PropertyType,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender,LenderContact,LenderContactPhone,PropertyManagement,PropertyManagementContact,PropertyManagementAddress,PropertyMgmtContactPhone
2122007027,01/31/2017,Single Family,"6901 N ENFIELD AVE
LOS ANGELES, CA 91335
(34.195742, -118.523414)",LOS ANGELES,CA,91335,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2027029029,01/24/2017,Single Family,"7712 N MARLBOROUGH CT
LOS ANGELES, CA 91304
(34.210365, -118.640924)",LOS ANGELES,CA,91304,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2102026096,01/31/2017,Single Family,"8105 N CANBY AVE
RESEDA, CA 91335
(34.218809, -118.534467)",RESEDA,CA,91335,12,Shellpoint Mortgage Servicing,Tracy Hall,864-312-4380,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405 ,877-339-8202
2146027064,03/14/2017,Single Family,"6222 1/2 NITA AVE
LOS ANGELES, CA 91367
(34.183857, -118.613073)",LOS ANGELES ,CA,91367,3,US Bank National Association,US BANK National Association,612-973-2749,Safeguard,Safeguard Properties,6266   Nita AVE  Woodland Hills CA 91367 ,216-739-2900
2122020020,01/04/2017,Single Family,"6618 N ZELZAH AVE
LOS ANGELES, CA 91335
(34.190909, -118.522478)",LOS ANGELES,CA,91335,3,Shellpoint Mortgage Servicing,Tracy Hall,864-312-4380,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405 ,877-339-8202
2116018048,01/03/2017,Single Family,"19435 W SHERMAN WAY
LOS ANGELES, CA 91335
(34.201161, -118.556462)",LOS ANGELES,CA,91335,3,loanDepot,Alton Payton,877-216-4323,GALLARDO EXCAVATION/ FIVE BROTHERS,FERNANDO GALLARDO,15465   KENNEDY   FONTANA CA 92336 ,909-822-1706
2123025033,03/29/2017,Single Family,"17838 W ERWIN ST
LOS ANGELES, CA 91316
(34.183891, -118.522187)",LOS ANGELES,CA,91316,5,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Eddy Leon,Eddy Leon,1650   Ximeno AVE 90804 Long Beach CA 90804 ,866-627-2256
2020009034,01/05/2017,Single Family,"23676 W JUSTICE ST
LOS ANGELES, CA 91304
(34.216935, -118.643463)",LOS ANGELES,CA,91304,12,Nationstar Mortgage,Dawn Campos,888-456-0714,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405 ,877-339-8202
2153032021,01/03/2017,Single Family,"19425 W MARTHA ST
LOS ANGELES, CA 91356
(34.173967, -118.556573)",LOS ANGELES,CA,91356,3,"U.S. Bank, N.A. C/O Select Portfolio Servicing",NA NA,888-349-8964,NA,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2162018063,01/03/2017,Single Family,"5330 ZELZAH
LOS ANGELES, CA 91316
(34.167753, -118.522022)",LOS ANGELES,CA,91316,5,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2126002008,03/27/2017,Single Family,"7125 N GEYSER AVE
LOS ANGELES, CA 91335
(34.199991, -118.542603)",LOS ANGELES,CA,91335,3,"BAYVIEW LOAN SERVICING, LLC",Michael Lopata,954-590-7676,M & M MORTGAGE SERVICES,ALEXA URCUYO,1146  N Central Ave 435 Glendale CA 91202 ,800-336-4890
2157003055,03/13/2017,Single Family,"18319 W COLLINS ST
LOS ANGELES, CA 91356
(34.174886, -118.531812)",LOS ANGELES,CA,91356,3,"SETERUS, INC",KEVIN QUILLAN,877-272-2149,SO CAL INSPECTORS INC,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241 ,760-591-9244
2171014088,01/05/2017,Single Family,"4991 N MEDINA DR
LOS ANGELES, CA 91364
(34.158832, -118.602187)",LOS ANGELES,CA,91364,3,Capital One,Linda Coy,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405 ,800-468-1743
2105010003,02/20/2017,Single Family,"19447 W INGOMAR ST
LOS ANGELES, CA 91335
(34.212031, -118.557208)",LOS ANGELES,CA,91335,3,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2032006005,01/28/2017,Single Family,"6420 N PAT AVE
LOS ANGELES, CA 91307
(34.186679, -118.658588)",LOS ANGELES,CA,91307,12,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Safeguard Properties,Code Compliance Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125 ,800-852-8306
2047011026,01/31/2017,Single Family,"23908 W BERDON ST
LOS ANGELES, CA 91367
(34.169249, -118.648295)",LOS ANGELES,CA,91367,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2167022006,01/03/2017,Single Family,"20908 W COSTANSO ST
LOS ANGELES, CA 91364
(34.165502, -118.588706)",LOS ANGELES,CA,91364,3,Ditech Financial LLC,Property Department,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405 ,909-289-1453
2136025004,01/25/2017,Single Family,"20318 W GILMORE ST
LOS ANGELES, CA 91306
(34.189155, -118.576029)",LOS ANGELES,CA,91306,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2113025007,01/06/2017,Single Family,"7420 N GAZETTE AVE
LOS ANGELES, CA 91306
(34.205302, -118.58723)",LOS ANGELES,CA,91306,3,"Trinity Financial Services, LLC",David Vo,855-734-0411,"Trinity Financial Services, LLC",Don Madden III,2618   San Miguel DR 303 Newport Beach CA 92660 ,855-818-6806
2075035051,01/17/2017,Single Family,"22304 W CASS AVE
LOS ANGELES, CA 91364
(34.164129, -118.612306)",LOS ANGELES,CA,91364,3,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2128002039,01/11/2017,Single Family,"19208 HAMLIN
LOS ANGELES, CA 91351
(34.188633, -118.550856)",LOS ANGELES,CA,91351,3,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2146008246,01/09/2017,Single Family,"22028 W COLLINS ST
LOS ANGELES, CA 91367
(34.174524, -118.606518)",LOS ANGELES,CA,91367,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2108018007,01/05/2017,Single Family,"7933 N SUNNY BRAE AVE
LOS ANGELES, CA 91306
(34.214393, -118.580831)",LOS ANGELES,CA,91306,3,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,Bron Inc,Grace Wesson,41951   Remington  150 Temecula CA 92590 ,877-338-3791
2127017018,01/20/2017,Single Family,"6115 N YOLANDA AVE
LOS ANGELES, CA 91335
(34.181174, -118.54038)",LOS ANGELES,CA,91335,3,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2107002115,01/18/2017,Single Family,"20224 W CANTARA ST
LOS ANGELES, CA 91306
(34.219208, -118.573768)",LOS ANGELES,CA,91306,3,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611
2128004024,02/20/2017,Single Family,"6419 N TOPEKA DR
LOS ANGELES, CA 91335
(34.187283, -118.54637)",LOS ANGELES,CA,91335,3,Shellpoint Mortgage Services,Johan Correa,866-825-2174,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2032017002,02/24/2017,Single Family,"5936 N MAURY AVE
LOS ANGELES, CA 91367
(34.178305, -118.661)",LOS ANGELES,CA,91367,3,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2120028039,01/02/2017,Single Family,"7459 N JAMIESON AVE
LOS ANGELES, CA 91335
(34.206473, -118.521861)",LOS ANGELES,CA,91335,3,U.S. Bank NA c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2027049003,02/08/2017,Single Family,"7317 N EASTHAVEN LANE
LOS ANGELES, CA 91307
(34.204143, -118.646724)",LOS ANGELES,CA,91307,12,Fay Servicing LLC c/o BDF Law,Heather Zullo,966-966-0789,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2111001013,01/24/2017,Single Family,"21915 W COHASSET ST
LOS ANGELES, CA 91303
(34.20647, -118.605132)",LOS ANGELES,CA,91303,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2116007009,01/30/2017,Single Family,"19531 W SATICOY ST
LOS ANGELES, CA 91335
(34.208356, -118.559087)",LOS ANGELES,CA,91335,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2034019056,01/25/2017,Single Family,"6557 N CLEOMOORE AVE
LOS ANGELES, CA 91307
(34.189675, -118.651164)",LOS ANGELES,CA,91307,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2074010017,03/09/2017,Single Family,"22935 W CASS AVE
LOS ANGELES, CA 91364
(34.156371, -118.621714)",LOS ANGELES,CA,91364,3,CitiMortgage,Erin Theobald,877-290-3997,Safeguard Properties,Edward Zubiz,3540   wilshire BLVD  Los Angeles CA 90010 ,213-383-2097
2024009021,01/09/2017,Single Family,"22143 W BASSETT ST
LOS ANGELES, CA 91303
(34.195553, -118.609601)",LOS ANGELES,CA,91303,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2038039033,01/05/2017,Single Family,"6544 N CAPISTRANO AVE
LOS ANGELES, CA 91307
(34.189474, -118.616713)",LOS ANGELES,CA,91307,12,Shellpoint Mortgage Servicing,Tracy Hall,864-312-4380,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405 ,877-339-8202
2161009016,01/30/2017,Single Family,"5351 N YOLANDA AVE
LOS ANGELES, CA 91356
(34.16804, -118.540868)",LOS ANGELES,CA,91356,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2027042036,01/18/2017,Single Family,"23218 W RUNNYMEDE ST
LOS ANGELES, CA 91307
(34.205549, -118.633182)",LOS ANGELES,CA,91307,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2121029013,01/03/2017,Single Family,"7012 N JAMIESON AVE
LOS ANGELES, CA 91335
(34.197995, -118.521563)",LOS ANGELES,CA,91335,3,Wilmington Savings Fund Society C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2134008001,01/03/2017,Single Family,"19900 W KITTRIDGE ST
LOS ANGELES, CA 91306
(34.191076, -118.566708)",LOS ANGELES,CA,91306,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2034001021,01/04/2017,Single Family,"23727 W WELBY WAY
LOS ANGELES, CA 91307
(34.192402, -118.643698)",LOS ANGELES,CA,91307,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2034020042,01/05/2017,Single Family,"6515 N DEBS AVE
LOS ANGELES, CA 91307
(34.188724, -118.650015)",LOS ANGELES,CA,91307,12,Shellpoint Mortgage Servicing,Tracy Hall,864-312-4380,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405 ,877-339-8202
2130001068,01/12/2017,Single Family,"19550 W SHERMAN WAY
LOS ANGELES, CA 91335
(34.201031, -118.558959)",LOS ANGELES,CA,91335,3,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2131008003,03/30/2017,Single Family,"19348 W KITTRIDGE ST
LOS ANGELES, CA 91335
(34.190668, -118.555307)",LOS ANGELES,CA,91335,3,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2166026006,02/21/2017,Single Family,"20616 W QUEDO DR
LOS ANGELES, CA 91364
(34.158888, -118.58215)",LOS ANGELES,CA,91364,3,Penny Mac,Brittni Ferrante,818-878-8411,AFS c/o PRIORITY 1 PROPERTY PRESERVATION INC - SOUTH,Bill Kleiser,2780   DOVE TAIL TR  San Marcos CA 92078 ,800-468-1743
2156029218,02/20/2017,Single Family,"5820 N YOLANDA AVE
LOS ANGELES, CA 91356
(34.17626, -118.540723)",LOS ANGELES,CA,91356,3,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,"Mortgage Contracting Services, Inc",Property Registration Property Registration,6504   INTERNATIONAL PKWY  PLANO TX 75093 ,813-387-1100
2139016007,01/12/2017,Single Family,"6622 N FARRALONE AVE
LOS ANGELES, CA 91303
(34.1908, -118.610237)",LOS ANGELES,CA,91303,3,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2010023047,01/19/2017,Single Family,"22157 W TERI CT
LOS ANGELES, CA 91304
(34.221266, -118.609807)",LOS ANGELES,CA,91304,12,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2164020018,01/11/2017,Single Family,"5221 N BOTHWELL ROAD
LOS ANGELES, CA 91356
(34.166092, -118.561103)",LOS ANGELES,CA,91356,3,JP Morgan Chase NA,Amy Lott,888-310-1506,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,800-852-8306
2172030075,01/04/2017,Single Family,"21248 W ESCONDIDO ST
LOS ANGELES, CA 91364
(34.144446, -118.596078)",LOS ANGELES,CA,91364,3,Capital One,Linda Coy,800-468-1743,"AFAS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405 ,909-289-1453
2127006007,01/03/2017,Single Family,"6450 N YOLANDA AVE
LOS ANGELES, CA 91335
(34.188127, -118.540385)",LOS ANGELES,CA,91335,3,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2024009002,01/03/2017,Single Family,"22152 W SCHOOLCRAFT ST
LOS ANGELES, CA 91303
(34.196459, -118.60994)",LOS ANGELES,CA,91303,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2115004013,01/05/2017,Single Family,"7527 N PENFIELD AVE
LOS ANGELES, CA 91306
(34.206972, -118.568948)",LOS ANGELES,CA,91306,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2119002015,03/29/2017,Single Family,"18237 W SATICOY ST
LOS ANGELES, CA 91335
(34.208402, -118.530859)",LOS ANGELES,CA,91335,12,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Eddy Leon,Eddy Leon,1650   Ximeno AVE 90804 Long Beach CA 90804 ,866-627-2256
2151020058,03/29/2017,Single Family,"5700 N KELVIN AVE
LOS ANGELES, CA 91367
(34.174923, -118.586638)",LOS ANGELES,CA,91367,3,Specialized Loan Servicing as Servicing Agent for Beneficiary,Hunter Robinson,877-367-0512,Eddy Leon,Eddy Leon,1650   Ximeno AVE 90804 Long Beach CA 90804 ,866-627-2256
2020006037,01/09/2017,Single Family,"7831 N SADRING AVE
LOS ANGELES, CA 91304
(34.212829, -118.636541)",LOS ANGELES,CA,91304,12,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360 ,805-496-1084
2162009150,01/26/2017,Single Family,"5400 N NEWCASTLE AVE
ENCINO, CA 91316
(34.168634, -118.524352)",ENCINO,CA,91316,5,JP Morgan Chase NA,Amy Lott,888-310-1506,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2017027016,02/20/2017,Single Family,"7753 N GRAYSTONE DR
LOS ANGELES, CA 91304
(34.212524, -118.65436)",LOS ANGELES,CA,91304,12,Shellpoint Mortgage Services,Tracy Hall,866-825-2174,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2170016046,01/31/2017,Single Family,"22016 W BUENAVENTURA ST
LOS ANGELES, CA 91364
(34.155258, -118.606464)",LOS ANGELES,CA,91364,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,"Remedy Field Services, Inc",Aaron Davitian,15615   Alton PKWY 450 Irvine CA 92618 ,619-862-0918
2123025026,02/08/2017,Single Family,"17831 W DELANO ST
LOS ANGELES, CA 91316
(34.182975, -118.522025)",LOS ANGELES,CA,91316,5,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611
2168001036,01/03/2017,Single Family,"5332 N CAMPO RD
LOS ANGELES, CA 91364
(34.166982, -118.598352)",LOS ANGELES,CA,91364,3,Deutsche Bank c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2146037170,01/28/2017,Single Family,"5500 N OWENSMOUTH AVE
WOODLAND HILLS, CA 91367
(34.171021, -118.601825)",WOODLAND HILLS,CA,91367,3,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Safeguard Properties,Safeguard Properties,7887   Safeguard Cir  Valley View OH 44125 ,800-852-8306
2137013008,01/09/2017,Single Family,"6920 N LURLINE AVE
LOS ANGELES, CA 91306
(34.196011, -118.582793)",LOS ANGELES,CA,91306,3,CitiMortgage,Erin Theobald,877-290-3997,JSM ENTERPRISES,Mortgage Contracting,1091   7TH ST A CALMESA CA 92320 ,813-387-1100
2033010011,01/06/2017,Single Family,"6400 N KENWATER PL
LOS ANGELES, CA 91307
(34.187465, -118.644206)",LOS ANGELES,CA,91307,12,Trustee Corps,Ann Lewis,856-917-3308,"US Best Repair Service, Inc","US Best Repair Service, Inc",2501   Alton PKWY  Irvine CA 92606 ,714-559-7835
2076009031,01/24/2017,Single Family,"4701 N EXCELENTE DR
LOS ANGELES, CA 91364
(34.153479, -118.616825)",LOS ANGELES,CA,91364,3,CITY NATIONAL FINANCIAL,JIMMY DAYWOOD,310-871-2118,CITY NATIONAL FINANCIAL,JIMMY DAYWOOD,1201  N PACIFIC AVE  GLENDALE CA 91202 ,310-871-2118
2109021031,01/05/2017,Single Family,"7642 N INDEPENDENCE AVE
LOS ANGELES, CA 91304
(34.209621, -118.590649)",LOS ANGELES,CA,91304,3,Nationstar Mortgage,Dawn Campos,888-456-0714,New Beginning Properties Inc,Jose Chavez,999  W Marshall BLVD  San Bernardino CA 92405 ,877-339-8202
2167012002,01/12/2017,Single Family,"4923 N ESCOBEDO DR
LOS ANGELES, CA 91364
(34.159272, -118.590567)",LOS ANGELES,CA,91364,3,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656 ,949-625-4480
2107019088,01/12/2017,Single Family,"7945 N LARAMIE AVE
LOS ANGELES, CA 91306
(34.215139, -118.572976)",LOS ANGELES,CA,91306,3,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656 ,949-625-4480
2102004023,01/24/2017,Single Family,"8100 N DARBY AVE
LOS ANGELES, CA 91335
(34.217558, -118.533418)",LOS ANGELES,CA,91335,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2115017010,01/25/2017,Single Family,"7501 N CORBIN AVE
LOS ANGELES, CA 91306
(34.206041, -118.562268)",LOS ANGELES,CA,91306,3,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2162019054,01/25/2017,Single Family,"5403 NEWCASTLE
LOS ANGELES, CA 91316
(34.168633, -118.524352)",LOS ANGELES,CA,91316,5,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2166046003,01/03/2017,Single Family,"20744 W QUEDO DR
LOS ANGELES, CA 91364
(34.159478, -118.585752)",LOS ANGELES,CA,91364,3,Selene Finance LP,Grace Wesson,951-428-2250,M&M Mortgage co,Frances Guerra,13380  SW 131st ST  miami FL 33186 ,303-232-4300
2040003006,03/03/2017,Single Family,"22627 W CALIFA ST
LOS ANGELES, CA 91367
(34.177367, -118.619859)",LOS ANGELES,CA,91367,3,U.S Bank N.A C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2102026011,01/09/2017,Single Family,"8160 N CANBY AVE
LOS ANGELES, CA 91335
(34.218296, -118.534469)",LOS ANGELES,CA,91335,12,"Financial Freedom, a division of CIT bank.",Dan Stack,800-441-4428,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732 ,626-485-8889
2113009025,03/14/2017,Single Family,"7456 N IRONDALE AVE
LOS ANGELES, CA 91306
(34.206388, -118.58519)",LOS ANGELES,CA,91306,3,Provident Funding Associates L.P.,Edith Cepeda,800-696-8199,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775 ,626-287-4431
2078002020,03/21/2017,Single Family,"4401 N LEYDON AVE
LOS ANGELES, CA 91364
(34.1503, -118.627878)",LOS ANGELES,CA,91364,3,MEIR VATURY,MEIR CATURY,818-274-1330,NULL,NULL,         ,NULL
2028011023,01/23/2017,Single Family,"6992 N PLATT AVE
LOS ANGELES, CA 91307
(34.196617, -118.638931)",LOS ANGELES,CA,91307,12,"CAPITAL ONE, NA",Ivony Horne,972-372-8213,OGIWA INCORPORATED,Giwa Olatunji,123   Morgan AL  PASADENA CA 91105 ,626-380-6275
2026004006,01/11/2017,Single Family,"7125 N MCLAREN AVE
LOS ANGELES, CA 91307
(34.200024, -118.624569)",LOS ANGELES,CA,91307,12,Wells Fargo Bank N.A.,Jonathon Holt,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2104016031,01/09/2017,Single Family,"7530 N VANALDEN AVE
LOS ANGELES, CA 91335
(34.207348, -118.54916)",LOS ANGELES,CA,91335,3,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2130008019,01/31/2017,Single Family,"19507 W SCHOOLCRAFT ST
LOS ANGELES, CA 91335
(34.196722, -118.558272)",LOS ANGELES,CA,91335,3,BSI Financial Services,BSI SERVICES,555-555-5555,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2036017011,01/10/2017,Single Family,"23300 W HAYNES ST
LOS ANGELES, CA 91307
(34.189837, -118.634718)",LOS ANGELES,CA,91307,12,"Bayview Loan Servicing, LLC",Sasha Cohen,305-921-6604,Superior Moti,Moti Shoham,5525   Morella AVE  Valley VLG CA 91607 ,818-424-4732
2166017006,01/01/2017,Single Family,"5112 N DUMONT PL
LOS ANGELES, CA 91364
(34.162721, -118.581437)",LOS ANGELES,CA,91364,3,Bank of New York Mellon c/o Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-383-2097
2004021037,01/12/2017,Single Family,"22221 W TIOGA PL
LOS ANGELES, CA 91304
(34.228169, -118.611831)",LOS ANGELES,CA,91304,12,Freedom Mortgage,Jared Huffman,855-690-5900,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660 ,949-294-8778
2160018146,01/22/2017,Single Family,"18227 W MARGATE ST
LOS ANGELES, CA 91356
(34.169009, -118.529963)",LOS ANGELES,CA,91356,3,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2119013016,01/11/2017,Single Family,"7523 N ETIWANDA AVE
LOS ANGELES, CA 91335
(34.207195, -118.531693)",LOS ANGELES,CA,91335,3,Nationstar Mortgage LLC,Code Compliance,888-480-2432,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2115013007,01/03/2017,Single Family,"7440 N MADORA AVE
LOS ANGELES, CA 91306
(34.205915, -118.566155)",LOS ANGELES,CA,91306,3,Ocwen Loan Servicing LLC,Judy Credit,407-737-5247,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656 ,949-625-4480
2127022027,02/22/2017,Single Family,"6316 N CREBS AVE
LOS ANGELES, CA 91335
(34.185311, -118.543752)",LOS ANGELES,CA,91335,3,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2031006071,01/16/2017,Single Family,"24550 W GARDENSTONE LANE
LOS ANGELES, CA 91307
(34.200169, -118.659533)",LOS ANGELES,CA,91307,12,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,818-406-3611
